,deso,q1_pct,q2_pct,q3_pct,q4_pct,median_tkr,avg_tkr,tot_pop
217,0180C3180,15,14,28,44,331.5,368.1,1869
218,0180C3190,16,19,22,43,331.8,457.0,1960
219,0180C3200,16,21,28,36,309.4,365.7,1950
220,0180C3210,17,16,24,43,326.9,377.0,1435
221,0180C3220,11,19,31,39,326.5,349.3,1714
222,0180C3230,9,13,25,53,381.2,413.8,1697
223,0180C3240,7,14,22,57,382.9,421.5,1747
224,0180C3250,16,16,24,45,335.4,420.0,1802
225,0180C3260,36,21,23,19,241.8,268.4,1835
226,0180C3270,16,22,27,35,299.9,343.9,1743
227,0180C3280,10,17,25,48,352.0,380.3,1389
228,0180C3290,18,17,23,43,327.5,456.3,1459
229,0180C3300,9,13,23,54,379.8,442.2,1908
230,0180C3310,17,19,29,36,311.7,338.9,1517
231,0180C3320,18,18,23,41,316.5,376.4,1954
232,0180C3330,18,19,27,37,315.6,343.1,2273
233,0180C3340,19,14,22,45,328.6,394.3,1727
234,0180C3350,8,14,25,53,374.8,405.8,1871
235,0180C3360,14,15,24,46,344.6,416.1,1946
236,0180C3370,15,20,28,36,318.9,357.1,2044
237,0180C3380,17,16,24,43,331.4,360.3,1275
238,0180C3390,20,18,23,40,319.0,367.3,1636
239,0180C3400,15,19,25,41,329.0,367.6,1834
240,0180C3410,8,10,17,65,444.1,618.9,1226
241,0180C3420,9,12,21,58,386.2,567.8,1310
242,0180C3430,16,13,24,47,347.3,394.3,1661
243,0180C3440,12,14,23,50,360.0,447.6,1659
244,0180C3450,10,14,24,52,373.0,475.9,1932
245,0180C3460,16,14,26,43,329.9,383.6,1557
246,0180C3470,19,17,22,42,320.7,373.9,1309
247,0180C3480,15,14,23,47,349.8,395.5,2147
248,0180C3490,9,14,24,53,372.5,414.1,1414
249,0180C3500,19,20,23,37,310.4,350.9,1264
250,0180C3510,11,15,27,47,349.5,400.2,1926
251,0180C3520,12,13,24,51,364.1,445.5,1799
252,0180C3530,15,16,25,44,341.9,360.4,1419
253,0180C3540,19,23,28,30,290.5,360.6,1465
254,0180C3550,12,12,23,54,379.3,467.8,1668
255,0180C3560,11,15,23,52,367.1,494.3,1387
256,0180C3570,13,16,26,45,344.9,436.8,1577
257,0180C3580,22,20,25,33,291.1,329.9,1797
258,0180C3590,12,16,21,50,360.3,407.6,1489
259,0180C3600,15,14,20,51,363.8,426.6,1442
260,0180C3610,3,4,11,82,552.9,854.1,1535
261,0180C3620,15,14,24,47,345.1,399.0,1839
262,0180C3630,21,21,25,33,292.8,331.1,1354
263,0180C3640,12,13,24,51,362.7,455.2,1641
264,0180C3650,14,16,23,47,347.7,389.1,1729
265,0180C3660,19,14,24,43,333.1,386.9,1017
266,0180C3670,20,19,23,38,319.8,352.2,1299
267,0180C3680,7,10,22,61,409.1,526.5,1410
268,0180C3690,14,16,20,50,360.1,429.0,1599
269,0180C3700,10,13,23,54,375.4,430.2,1372
270,0180C3710,12,13,22,53,377.1,588.8,1233
271,0180C3720,4,7,14,75,553.1,1274.1,1293
272,0180C3730,13,16,22,49,355.4,462.7,1366
273,0180C3740,12,14,24,49,353.8,406.3,1439
274,0180C3750,14,15,21,49,356.3,461.3,1670
275,0180C3760,4,5,9,82,575.2,1144.8,1396
276,0180C3770,18,14,21,47,340.7,478.4,1277
277,0180C3780,13,15,22,50,359.7,408.9,1012
278,0180C3790,18,16,23,44,332.9,403.1,1496
279,0180C3800,14,16,26,45,341.3,408.8,1363
280,0180C3810,13,15,22,50,361.2,440.3,1312
281,0180C3820,12,12,20,56,382.2,455.0,1536
282,0180C3830,6,9,16,69,429.5,574.3,1723
283,0180C3840,3,6,16,75,505.0,618.0,1737
284,0180C3850,4,5,13,78,525.8,776.6,1699
285,0180C3860,14,15,24,47,349.4,385.8,1566
286,0180C3870,8,13,23,56,387.8,483.6,1681
287,0180C3880,14,13,20,52,369.6,494.7,1577
288,0180C3890,17,16,28,38,320.0,344.3,1463
289,0180C3900,12,13,20,55,379.2,449.5,1506
290,0180C3910,3,9,13,75,484.5,787.4,1856
291,0180C3920,16,14,16,54,383.3,1072.8,820
292,0180C3930,12,10,15,63,452.9,734.6,1367
293,0180C3940,17,16,20,48,344.2,489.4,1472
294,0180C3950,16,19,24,41,320.5,361.7,1223
295,0180C3960,15,13,17,56,383.9,478.4,1214
296,0180C3970,14,13,21,53,374.0,518.5,1408
297,0180C3980,12,12,15,62,411.9,513.7,1468
298,0180C3990,13,12,18,57,386.0,493.3,1356
299,0180C4000,9,13,17,61,415.8,510.6,1295
300,0180C4010,14,12,17,58,408.5,780.0,1378
301,0180C4020,11,14,24,50,359.8,459.9,1579
